symbol,name
530585.NS,Swastika Investmart Ltd
530589.NS,Prima Plastics Ltd.
530595.NS,TeleCanor Global Limited
530601.NS,Jagsonpal Finance & Leasing Ltd.
530611.NS,Sturdy Industries Ltd.
530615.NS,Garg Furnace Ltd.
530617.NS,Sampre Nutritions Ltd.
530621.NS,Akar Auto Industries Limited
530627.NS,Vipul Organics Limited
530643.NS,Eco Recycling Limited
530655.NS,Goodluck India Limited
530663.NS,Goyal Associates Ltd.
530665.NS,Zenith Health Care Ltd.
530669.NS,ACE ENGITECH LIMITED
530675.NS,York Exports Ltd.
530677.NS,Supreme Holdings & Hospitality (India) Ltd
530683.NS,Pithampur Poly Products Ltd.
530689.NS,Lykis Limited
530695.NS,Prime Property Development Corporation Ltd.
530697.NS,Zenlabs Ethica Limited
530699.NS,Raj Rayon Industries Limited
530705.NS,ANIRIT VENTURES LIMITED
530709.NS,Gowra Leasing & Finance Ltd.
530711.NS,Jagan Lamps Ltd.
530713.NS,AJEL Limited
530715.NS,Alps Industries Ltd.
530723.NS,Asit C Mehta Financial Services Limited
530733.NS,ENCODE PACKAGING INDIA LIMITED
530735.NS,Super Bakers (India) Ltd.
530741.NS,Ovobel Foods Ltd.
530747.NS,CHALLANI CAPITAL LIMITED
530755.NS,Coral Newsprints Ltd.
530759.NS,Sterling Tools Ltd.
530765.NS,AGARWAL FORTUNE INDIA LIMITED
530771.NS,KLG Capital Services Ltd.
530779.NS,Dynamic Protfolio Management & Serv
530787.NS,Inland Printers Ltd.
530789.NS,Ceejay Finance Limited
530795.NS,Suncity Synthetics Ltd.
530797.NS,Shree Ganesh Elastoplast Ltd
530799.NS,Anna Infrastructures Ltd
530803.NS,Bhageria Industries Limited
530805.NS,ONESOURCE INDUSTRIES AND VENTURES LIMITED
530809.NS,BNR Udyog Ltd.
530813.NS,KRBL Ltd.
530821.NS,SSPDL Limited
530825.NS,Daikaffil Chemicals India Ltd.
530829.NS,Cil Securities Ltd.
530839.NS,Clio Infotech Ltd.
530843.NS,Cupid Limited
530845.NS,Sunshield Chemicals Ltd.
530853.NS,Hipolin Ltd.
530855.NS,GDL Leasing & Finance ltd.
530871.NS,Chembond Chemicals Ltd.
530879.NS,CAPITAL INDIA FINANCE LIMITED
530881.NS,Arunjyoti Bio Ventures Limited 
530883.NS,Super Crop Safe Ltd.
530897.NS,N.G.Industries Ltd.
530899.NS,Asia Pack Ltd.
530907.NS,S.I.Capital And Financial Services
530909.NS,ERP Soft Systems Ltd.
530917.NS,R.R.Securities Ltd.
530919.NS,Remsons Industries Ltd.
530925.NS,Ramsons Projects Ltd.
530927.NS,Haryana Financial Corporation ltd.
530929.NS,Euro Asia Exports Ltd.
530931.NS,Stanpacks (India) Ltd.
530943.NS,Sri Adhikari Brothers Television Ne
530951.NS,RAMINFO LIMITED
530953.NS,Sunil Agro Foods ltd.
530959.NS,Diana Tea Co.Ltd.
530961.NS,Vikas EcoTech Limited
530965.NS,Indian Oil Corporation Ltd.
530973.NS,Alfa Ica (India) Ltd
530977.NS,Shri Keshav Cements and Infra Limited
530979.NS,India Home Loan Limited
530985.NS,JPT Securities Ltd.
530991.NS,Roopa Industries Ltd.
530993.NS,Sarthak Global Ltd.
530997.NS,Unique Organics Ltd.
530999.NS,Balaji Amines Ltd.
531003.NS,Swarna Securities Ltd.
531015.NS,Venmax Drugs And Pharmaceuticals Ltd
531017.NS,Arihants Securities ltd.
531025.NS,Visagar Financial Services Ltd
531027.NS,Libord Securities Ltd.
531029.NS,Bharat Textiles & Proofing Industri
531035.NS,ERAAYA LIFESPACES LIMITED
531039.NS,Swadha Nature Limited
531041.NS,Competent Automobiles Co. Ltd.
531043.NS,Dhanvantri Jeevan Rekha Ltd.
531049.NS,Neelkanth Rockminerals ltd.
531051.NS,Vintage Securities Ltd.
531065.NS,Oswal Overseas Ltd
531067.NS,Contil India Limited
531069.NS,Vijay Solvex Ltd.
531080.NS,Shri Krishna Devcon Limited
531082.NS,Alankit Limited
531083.NS,Nihar Info Global Ltd.
531091.NS,United Credit ltd.
531092.NS,OM INFRA LIMITED
531099.NS,Checkpoint Trends Limited
531109.NS,Ishan Dyes and Chemicals Limited
531111.NS,Gothi Plascon (India) Ltd.
531112.NS,BALU FORGE INDUSTRIES LIMITED
531119.NS,Ceenik Exports (india) Ltd.
531120.NS,Patel Engineering Ltd
531126.NS,KATI PATANG LIFESTYLE LIMITED
531127.NS,MENA MANI INDUSTRIES LIMITED
531129.NS,Inani Marbles & Industries Ltd.
531137.NS,Gemstone Investments Ltd.
531144.NS,El Forge Ltd.
531146.NS,Medicamen Biotech Ltd.
531147.NS,Alicon Castalloy Limited
531153.NS,Diligent Industries Limited
531155.NS,Epsom Properties Limited
531156.NS,Alfavision Overseas (India) Ltd.
531157.NS,Organic Coatings Ltd.
531158.NS,Catvision Limited
531161.NS,ABM Knowledgeware Ltd.
531162.NS,Emami Ltd
531163.NS,Kemistar Corporation Limited
531164.NS,Laser Diamonds Ltd.
531168.NS,Associated Ceramics Ltd.
531169.NS,SKP Securities Ltd.
531173.NS,Syschem (India) Ltd.
531176.NS,Mefcom Capital Markets Ltd.
531178.NS,Hemang Resources Limited
531179.NS,Arman Financial Services Limited
531190.NS,Tavernier Resources Limited
531191.NS,Filtron Engineers Ltd.
531199.NS,Glance Finance Ltd.
531201.NS,Shilchar Technologies Ltd.
531203.NS,TRADEWELL HOLDINGS LIMITED
531205.NS,SPRIGHT AGRO LIMITED
531209.NS,Nucleus Software Exports Ltd
531210.NS,Colinz Laboratories ltd.
531212.NS,Nalin Lease Finance Ltd.
531213.NS,Manappuram Finance Limited
531215.NS,RTS Power Corporation Ltd.
531216.NS,Comfort Intech Ltd
531219.NS,Shyama Computronics and Services Limited
531221.NS,Mayur Floorings Ltd.
531223.NS,Anjani Synthetics Limited
531225.NS,XTGLOBAL INFOTECH LIMITED
531227.NS,Deco-Mica Ltd.
531228.NS,Rander Corporation Ltd.
531233.NS,Rasi Electrodes Ltd.
531234.NS,SCOOBEE DAY GARMENTS (INDIA) LIMITED
531235.NS,Citiport Financial Services Ltd.
531237.NS,Dhruva Capital Services Ltd.
531240.NS,Shamrock Industrial Co. Ltd.
531241.NS,LINC LIMITED
531246.NS,Prima Industries Ltd.
531253.NS,India Gelatine & Chemicals Ltd.
531254.NS,Optimus Finance Limited
531255.NS,Paragon Finance Ltd.
531257.NS,Pratiksha Chemicals Ltd.
531259.NS,Esha Media Research Limited
531260.NS,Refex Renewables & Infrastructure Limited
531262.NS,Surya Industrial Corporation Ltd.
531265.NS,PROGREX VENTURES LIMITED
531266.NS,V.S.T.Tillers Tractors Ltd.
531268.NS,B2B Software Technologies Ltd.
531272.NS,Nikki Global Finance Ltd.
531273.NS,Radhe Developers (India) ltd.
531274.NS,Kinetic Trust Ltd.
531278.NS,Elixir Capital Limited
531279.NS,Trishakti Industries Limited
531280.NS,Pankaj Polymers Ltd.
531281.NS,MARBLE CITY INDIA LIMITED
531283.NS,Cindrella Financial Services Ltd.
531286.NS,ADHATA GLOBAL LIMITED
531287.NS,National Plastic Technologies Ltd
531288.NS,Lead Financial Services  Ltd
531289.NS,National Fittings Limited
531297.NS,Artefact Projects Ltd
531300.NS,Amit International Ltd.
531301.NS,High Street Filatex Limited
531304.NS,Nutech Global Ltd.
531306.NS,DHP India Ltd.
531307.NS,RRIL LIMITED
531310.NS,Available Finance Ltd.
531314.NS,INTEGRA CAPITAL LIMITED
531319.NS,Maruti Securities Ltd.
531322.NS,SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED
531323.NS,JAYATMA INDUSTRIES LIMITED
531324.NS,Roselabs Finance Ltd.
531327.NS,Charms Industries Ltd
531328.NS,KRETTO SYSCON LIMITED
531334.NS,Vikalp Securities Ltd.
531335.NS,Zydus Wellness Limited
531337.NS,WinPro Industries Limited
531338.NS,Milestone Global Limited
531340.NS,Bervin Investments And Leasing Ltd.
531341.NS,Gujarat Investa Ltd.
531344.NS,Container Corporation Of India Ltd.
531346.NS,Eastern Treads Ltd.
531349.NS,Panacea Biotec Ltd.
531352.NS,Peeti Securities Ltd.
531357.NS,MERCURY EV-TECH LIMITED
531358.NS,Choice International Ltd
531359.NS,Shriram Asset Management Co.Ltd.
531360.NS,Golechha Global Finance Ltd.
531364.NS,Ekansh Concepts Limited
531370.NS,SPARC ELECTREX LIMITED
531373.NS,The Byke Hospitality    Ltd
531380.NS,Centenial Surgical Suture Ltd.
531381.NS,Arihant Foundations & Housing Ltd.
531387.NS,Hasti Finance Ltd.
531390.NS,Upsurge Investment And Finance Ltd.
531395.NS,Padam Cotton Yarns Ltd.
531396.NS,Women Networks Ltd.
531397.NS,Polycon International Ltd.
531398.NS,Source Natural Foods & Herbal Suppl Ltd
531399.NS,G.G.Automotive Gears Ltd.
531400.NS,Almondz Global Securities Limited
531402.NS,LWS Knitwear Ltd
531406.NS,ANS Limited
531409.NS,Alchemist Corporation Ltd
531411.NS,Tuni Textile Mills Ltd.
531412.NS,Radix Industries (India) Limited
531413.NS,Kiran Print-Pack Ltd.
531416.NS,Narendra Properties Ltd.
531417.NS,Mega Corporation Ltd
531426.NS,Tamil Nadu Newsprint And Papers Ltd
531431.NS,Shakti Pumps (India) Ltd.
531432.NS,Systematix Securities Ltd.
531433.NS,Sungold Capital Ltd.
531436.NS,Saffron Industries Limited
531437.NS,Prakash Woollen & Synthetic Mills Ltd 
531439.NS,AION-TECH SOLUTIONS LIMITED
531441.NS,Lyons Corporate Market Ltd.
531444.NS,Vardhman Concrete Limited
531449.NS,GRM Overseas Ltd.
531453.NS,Mohit Industries Limited
531454.NS,Polylink Polymers (india) Ltd.
531456.NS,Minaxi Textiles Ltd.
531460.NS,Continental Controls Ltd.
531465.NS,Nouveau Global Ventures Limited
531471.NS,Duke Offshore Ltd.
531472.NS,Cybele  Industries Limited
531486.NS,Filmcity Media Ltd.
531489.NS,Cg-Vak Software & Exports Ltd.
531494.NS,NAVKAR URBANSTRUCTURE LIMITED
531495.NS,Blue Coast Hotels Ltd
531496.NS,Omkar Overseas ltd.
531497.NS,Madhucon Projects Ltd.
531499.NS,Sybly Industries Ltd.
531500.NS,Rajesh Exports Ltd.
531502.NS,Esaar (India) Ltd.
531503.NS,Maris Spinners Ltd.
531505.NS,Indergiri Finance ltd.
531506.NS,Shukra Bullions Limited
531508.NS,Eveready Industries India Ltd.
531509.NS,Step Two Corporation Ltd.
531512.NS,Orient Tradelink Ltd.
531515.NS,Mahan Industries Ltd.
531518.NS,VIKAS PROPPANT & GRANITE LTD.
531521.NS,Desh Rakshak Aushdhalaya Ltd.
531525.NS,Ace Software Exports ltd.
531529.NS,Softrak Venture Investments Ltd.
531531.NS,Hatsun Agro Products Ltd.
531533.NS,ACCEDERE LIMITED
531537.NS,Jyothi Infraventures Ltd.
531539.NS,Rishabh Digha Steel And Allied Prod
531540.NS,Maruti Infrastructure Ltd.
531541.NS,KOBO BIOTECH LIMITED
531543.NS,Jindal Worldwide Ltd.
531548.NS,Somany Ceramics Limited
531550.NS,Jhaveri Credits & Capital Ltd.
531552.NS,Raghunath Tobacco Co. Ltd.
531553.NS,DISHA RESOURCES LIMITED
531556.NS,Coral India Finance And Housing Ltd
531562.NS,Pushpsons Industries Ltd.
531568.NS,Ashutosh Paper Mills Ltd.
531569.NS,Sanjivani Paranteral Ltd.
531574.NS,Vas Infrastructure  Ltd.
531578.NS,KMF Builders & Developers Ltd.
531582.NS,Beryl Securities Ltd
531583.NS,Rap Media Ltd.
531585.NS,Devine Impex Limited
531591.NS,Bampsl Securities Ltd.
531592.NS,GENPHARMASEC LIMITED
531594.NS,Incon Engineers Ltd.
531595.NS,Capri Global Capital Limited
531597.NS,Midland Polymers Ltd.
531599.NS,FDC Ltd.
531600.NS,GOGIA CAPITAL GROWTH LIMITED
531608.NS,Gorani Industries Ltd.
531609.NS,KG Petrochem Ltd.
531610.NS,UFM Industries Ltd
531613.NS,Meyer Apparel Limited
531616.NS,Starcom Information Technology Ltd
531624.NS,Country Condo's Ltd
531626.NS,Orosil Smiths India Limited
531628.NS,TEJASSVI AAHARAM LIMITED
531633.NS,Lincoln Pharmaceuticals ltd.
531635.NS,Silver Oak (India) Ltd.
531637.NS,PRAVEG LIMITED
531638.NS,Suraj Ltd.
531640.NS,Suvidha Infraestate Corporation Limited
531642.NS,Marico Limited
531644.NS,Tokyo Finance Ltd.
531647.NS,B.J.Duplex Boards Ltd.
531651.NS,National General Industries Ltd.
531652.NS,Thirdwave Financial Intermediaries
531658.NS,ABATE AS INDUSTRIES LIMITED
531661.NS,Hittco Tools Ltd.
531663.NS,YUVRAAJ HYGIENE PRODUCTS LTD
531667.NS,RR METALMAKERS INDIA LIMITED
531668.NS,Vision Corporation Ltd.
531672.NS,Inani Securities Ltd.
531673.NS,Anka India Ltd.
531676.NS,Vaghani Techno-Build Limited
531677.NS,Aris International Limited
531681.NS,AMERISE BIOSCIENCES LIMITED
531686.NS,Advik Laboratories Ltd.
531688.NS,Prithvi Exchange (India) Limited
531692.NS,Khyati Multimedia-Entertainment Ltd
531694.NS,Rainbow Foundations Ltd
531696.NS,VSD Confin ltd.
531716.NS,Tricom Fruit Products Limited
531717.NS,Vidhi Specialty Food Ingredients Limited
531719.NS,Bhagiradha Chemicals and Industries
531723.NS,GACM Technologies Limited
531724.NS,HRB Flouriculture Ltd.
531726.NS,Panchsheel Organic Ltd.
531727.NS,Menon Pistons Ltd.
531735.NS,Prism Finance Ltd.
531737.NS,Greencrest Financial Services Limited
531739.NS,Gennex Laboratories Ltd
531743.NS,Hira Automobiles Ltd.
531744.NS,Gini Silk Mills Ltd.
531746.NS,Prajay Engineers Syndicate Ltd.
531752.NS,BIOGEN PHARMACHEM INDUSTRIES LIMITED
531758.NS,G.k.Consultants Ltd.
531761.NS,APOLLO PIPES LIMITED
531762.NS,Unjha Formulations Ltd.
531768.NS,Poly Medicure Ltd
531769.NS,PFL Infotech Ltd.
531771.NS,SHRADDHA PRIME PROJECTS LTD
531775.NS,Cistro Telelink Ltd.
531778.NS,Kachchh Minerals Ltd.
531779.NS,Padmanabh Alloys & Polymers Ltd.
531780.NS,Kaiser Corporation Limited
531784.NS,KCL Infra Projects Limited
531795.NS,Atul Auto Limited
531797.NS,Scan Projects Ltd
531802.NS,Prerna Infrabuild Limited
531810.NS,Metal Coatings (India) Ltd.
531812.NS,SGN Telecoms Ltd.
531813.NS,Ganga Papers India Ltd
531814.NS,Tirupati Sarjan Ltd.
531819.NS,Nuway Organic Naturals (India) Ltd.
531821.NS,Munoth Financial Services Ltd.
531822.NS,Rodium Realty Limited
531825.NS,RCC Cements Ltd
531832.NS,Nagarjuna Agritech Ltd.
531834.NS,Natura Hue Chem Ltd.
531840.NS,IEC Education Limited
531841.NS,Indus Finance Limited
531842.NS,Lahoti Overseas Ltd.
531845.NS,ZENITH STEEL PIPES AND  INDUSTRIES LIMITED
531846.NS,Trinity League India Limited
531847.NS,Asian Star Co. Ltd.
531859.NS,ORIENTAL RAIL INFRASTRUCTURE LIMITED
531861.NS,Joindre Capital Services Ltd.
531862.NS,Bharat Agri Fert and Realty Ltd
531867.NS,Unitech International Ltd
531869.NS,Sacheta Metals Ltd.
531870.NS,Popular Estate Management Ltd
531878.NS,Anjani Finance Ltd
531885.NS,SVA India Ltd
531887.NS,Rahul Merchandising ltd.
531888.NS,Rexnord Electronics & Controls Ltd.
531889.NS,INTEGRATED INDUSTRIES LIMITED
531892.NS,Khandwala Securities Ltd.
531893.NS,SAWACA ENTERPRISES LIMITED
531900.NS,CCL International Ltd
531902.NS,Gallops Enterprise  Limited
531909.NS,CROISSANCE LIMITED
531910.NS,Madhuveer Com 18 Network Limited
531911.NS,Galaxy Agrico Exports Ltd.
531913.NS,Gopal Iron & Steels Co.(Gujarat) Lt
531918.NS,Hindustan Appliances Ltd
531921.NS,Agarwal Industrial Corporation Limited
531923.NS,Dhampure Speciality Sugars Ltd.
531925.NS,Shantanu Sheorey Aquakult ltd.
531928.NS,Golden Carpets Limited.
531929.NS,Innocorp Limited
531930.NS,Sarthak Industries Ltd.
531931.NS,Sai Capital Ltd.
531936.NS,Blue Chip India Ltd
531944.NS,LEXORAA INDUSTRIES LIMITED
531946.NS,Chadha Papers Ltd.
531950.NS,Vertex Securities Ltd.
531952.NS,Riba Textiles Ltd.
531959.NS,Newtime Infrastructure Limited
531960.NS,Kashyap Tele-Medicines Limited
531962.NS,Shree Metalloys Limited
531968.NS,IITL PROJECTS LIMITED
531971.NS,Hari Govind International Ltd.
531977.NS,Chartered Logistics Ltd
531978.NS,Ambika Cotton Mills Ltd.
531979.NS,HIND ALUMINIUM INDUSTRIES LTD.
531980.NS,Senthil Infotek Limited
531982.NS,Spectrum Foods Limited
531989.NS,Deccan Polypacks Ltd
531991.NS,Amraworld Agrico Ltd.
531994.NS,Auto Pins (India) Ltd.
531996.NS,Odyssey Corporation Ltd.
531997.NS,VUENOW INFRATECH LIMITED
532001.NS,Inducto Steels ltd.
532005.NS,Sam Industries Ltd.
532007.NS,Shree Vatsaa Finance & Leasing Ltd.
532011.NS,VASHU BHAGNANI INDUSTRIES LIMITED
532015.NS,Gravity (India) Ltd.
532016.NS,ESPIRE HOSPITALITY LIMITED
532019.NS,LCC Infotech Ltd.
532022.NS,Filatex Fashions Ltd
532024.NS,AARCON FACILITIES LIMITED
532029.NS,Sindhu Trade Links Limited
532035.NS,Unistar Multimedia Ltd
532039.NS,Zenotech Laboratories Limited
532041.NS,Hindustan Bio Sciences Ltd.
532042.NS,Frontline Corporation Limited
532051.NS,Swelect Energy Systems Limited
532053.NS,Wallfort Financial Services Ltd.
532054.NS,KDDL Ltd
532056.NS,Adinath Exim Resources Ltd.
532057.NS,Abhinav Capital Services Limited
532067.NS,3B BlackBio Dx Limited
532070.NS,Sumuka Agro Industries Limited
532072.NS,Interworld Digital Ltd.
532078.NS,MONIND LIMITED
532083.NS,Shri Kalyan Holdings Ltd.
532090.NS,Vandana Knitwear Limited
532092.NS,EPUJA SPIRITECH LIMITED
532100.NS,Indo-City Infotech Ltd.
532102.NS,SBEC Sugar Ltd.
532105.NS,Mega Fin (India) Ltd.
532113.NS,Brijlaxmi Leasing & Finance ltd.
532123.NS,BSEL ALGO LIMITED
532124.NS,Reliable Ventures India Ltd
532131.NS,Triumph International Finance India
532134.NS,Bank Of Baroda
532138.NS,SMC Credits ltd.
532139.NS,G-Tech Info-Training Ltd.
532140.NS,Mohite Industries Limited
532141.NS,Andhra Cement Ltd.
532143.NS,SKM Egg Products Exports (India) Lt
532144.NS,Welspun Corp Limited
532145.NS,H.S.India Ltd.
532149.NS,Bank of India
532150.NS,Indraprastha Medical Corporation Lt
532154.NS,JOHNSON PHARMACARE LIMITED
532155.NS,Gail (India) Ltd.
532156.NS,Vaibhav Global Ltd
532159.NS,TRESCON LIMITED
532160.NS,Gujarat State Financial corporation
532162.NS,JK Paper Ltd.
532163.NS,Saregama India Ltd.
532164.NS,Minolta Finance Ltd.
532167.NS,Omkar Pharmachem Ltd.
532172.NS,Adroit Infotech Limited
532173.NS,Cybertech Systems and Software Ltd.
532174.NS,ICICI Bank Ltd.
532175.NS,Cyient Limited
532178.NS,Engineers India Ltd.
532180.NS,Dhanlaxmi Bank Limited
532181.NS,Gujarat Mineral Development Corpora
532183.NS,Gayatri Sugars Ltd.
532187.NS,IndusInd Bank Ltd.
532189.NS,India Tourism Development Corporati
532209.NS,Jammu and Kashmir Bank Ltd.
532210.NS,City Union Bank Ltd
532212.NS,Archies Ltd.
532215.NS,AXIS Bank Ltd.
532216.NS,HB Stockholdings Ltd.
532217.NS,Siel Financial Services Ltd.
532218.NS,South Indian Bank Ltd.
532219.NS,Energy Development Company Ltd.
532221.NS,Sonata Software Ltd.
532230.NS,Bengal Tea & fabrics Ltd.
532234.NS,National Aluminium Co. Ltd.
532240.NS,India Nippon Electricals Ltd
532256.NS,Nalwa Sons Investment Ltd
532259.NS,Apar Industries Ltd
532262.NS,TCI Industries Ltd.
532268.NS,ACCELYA SOLUTIONS INDIA LIMITED
532271.NS,ORCHASP LIMITED
532275.NS,Landmarc Leisure Corporation Ltd.
532281.NS,HCL Technologies Ltd
532284.NS,TCFC Finance Ltd
532285.NS,Geojit Financial Services Limited
532286.NS,Jindal Steel & Power Ltd
532290.NS,BLB Limited
532296.NS,Glenmark Pharmaceuticals ltd
532300.NS,Wockhardt Ltd
532303.NS,Integrated Hi-tech ltd.
532304.NS,KJMC Corporate Advisors (India) Ltd.
532305.NS,Ind-Swift Laboratories Ltd.
532309.NS,GE Power India Limited
532310.NS,Shree Rama Multi-tech Ltd.
532313.NS,Mahindra Lifespace Developers Ltd.
532315.NS,GROARC INDUSTRIES INDIA LIMITED
532320.NS,Vaarad Ventures Ltd
532321.NS,Zydus Lifesciences Limited
532323.NS,Shiva Cement Ltd.
532324.NS,Cinevista Limited
532326.NS,Intense Technologies
532329.NS,Danlaw Technologies India Ltd.
532331.NS,Ajanta Pharma Ltd.
532333.NS,HB Portfolio Ltd.
532334.NS,HB Estate Developers Ltd.
532335.NS,Ambica Agarbathies & Aroma Ind. Ltd.
532336.NS,Baron Infotech Ltd.
532339.NS,Compucom Software Lt.
532340.NS,Omni Axs Software Ltd.
532341.NS,IZMO Limited
532343.NS,TVS Motor Company Ltd.
532344.NS,SoftSol India Limited.
532345.NS,ALLCARGO GATI LIMITED
532348.NS,Subex  Ltd
532349.NS,Transport Corporation of India Ltd
532350.NS,Padmalaya Telefilms Ltd.
532351.NS,Aksh Optifibre Ltd.
532354.NS,Virgo Global Limited
532355.NS,Picturehouse Media Limited
532356.NS,Triveni Engineering & Industries Ltd
532357.NS,Mukta Arts Ltd.
532359.NS,Hit Kit Global Solutions Ltd
532362.NS,Nagpur Power & Industries Ltd
532365.NS,Dynacons Systems & Solutions Ltd.
532366.NS,PNB Gilts Ltd
532369.NS,Ramco Industries Ltd
532370.NS,Ramco Systems Ltd
532371.NS,Tata Teleservices (Maharashtra) Ltd.
532372.NS,Virinchi Limited
532373.NS,WEP Solutions Ltd
532374.NS,Sterlite Technologies Limited.
532375.NS,TIPS MUSIC LIMITED
532376.NS,MRO-TEK Realty Limited
532378.NS,Universal Arts Ltd
532379.NS,FIRST FINTEC LIMITED
532380.NS,Baba Arts Ltd
532382.NS,Balaji Telefilms Ltd.
532384.NS,Tyche Industries Ltd.
532386.NS,California Software Co. Ltd.
532387.NS,Pritish Nandy Communications Ltd
532388.NS,Indian Overseas Bank
532390.NS,Taj GVK Hotels & Resorts Ltd.
532392.NS,Creative Eye Ltd.
532395.NS,AXISCADES TECHNOLOGIES LIMITED
532397.NS,KONNDOR INDUSTRIES LIMITED
532398.NS,Usha Martin Education & Solutions Limited
532400.NS,BIRLASOFT LIMITED
532402.NS,USG Tech Solutions Ltd
532403.NS,Fourth Generation Information Systems Ltd
532404.NS,Saven Technologies Ltd.
532406.NS,Avantel Limited
532407.NS,MOSCHIP TECHNOLOGIES LIMITED
532408.NS,Megasoft Ltd.
532410.NS,Transcorp International Ltd.
532413.NS,Cerebra Integrated Technologies Ltd.
532416.NS,Next Mediaworks Ltd
532419.NS,Smartlink Holdings Limited
532424.NS,Godrej Consumer Products Ltd.
532425.NS,GENUS PRIME INFRA LIMITED
532430.NS,BF Utilities Ltd.
532432.NS,United Spirits Limited
532435.NS,Sanmit Infra Limited
532439.NS,OLECTRA GREENTECH LIMITED
532440.NS,MPS Limited
532443.NS,Cera Sanitaryware Ltd.
532444.NS,T. Spiritual World Ltd.
532454.NS,Bharti Airtel  Ltd.
532455.NS,Shalimar Wires Industries Ltd.
532456.NS,Compuage Infocom Ltd
532457.NS,Gulshan Polyols Ltd.
532460.NS,Ponni Sugars (Erode) Ltd.
532461.NS,Punjab National Bank
532466.NS,Oracle Financial Services Software Limited
532467.NS,Hazoor Multi Projects Limited
532468.NS,Kama Holdings Limited
532475.NS,Aptech Ltd.
532477.NS,Union Bank of India
532478.NS,United Breweries Ltd.
532481.NS,Noida Toll Bridge Company Ltd
532482.NS,Granules India Ltd.
532483.NS,Canara Bank
532485.NS,Balmer Lawrie Investments Ltd.
532486.NS,Pokarna Ltd.
532488.NS,Divi's Laboratories Ltd.
532493.NS,Astra Microwave Products Ltd.
532497.NS,Radico Khaitan Ltd.
532500.NS,Maruti Suzuki India  Ltd.
532503.NS,Rajapalayam Mills Limited
532504.NS,Navin Fluorine International Limited
532505.NS,UCO Bank
532507.NS,B.A.G. Films & Media Ltd
532508.NS,Jindal Stainless Limited
532509.NS,Suprajit Engineering Ltd.
532513.NS,TVS Electronics Ltd.
532514.NS,Indraprashtha Gas Ltd.
532515.NS,T.V.Today Network Limited
532521.NS,Palred Technologies Limited
532522.NS,PETRONET LNG LTD.
532523.NS,Biocon Ltd.
532524.NS,PTC India Ltd
532525.NS,Bank of maharashtra
532527.NS,ramkrishna forgings Ltd.
532528.NS,Datamatics Global Services Limited
532529.NS,New Delhi Television Limited
532531.NS,STRIDES PHARMA SCIENCE LIMITED
532532.NS,Jaiprakash Associates Limited
532538.NS,UltraTech Cement Ltd
532539.NS,UNO Minda Limited
532540.NS,Tata Consultancy Services Ltd.
532541.NS,COFORGE LIMITED
532543.NS,GP Petroleums Limited
532548.NS,Century Plyboards (India) Ltd.
532553.NS,Welspun Enterprises Limited
532555.NS,NTPC Limited
532604.NS,S.A.L. Steel Ltd.
532605.NS,JBM Auto Limited
532610.NS,Dwarikesh Sugar Industries Ltd.
532612.NS,Indoco Remedies Ltd.
532613.NS,VIP Clothing Limited
532614.NS,Impex Ferro tech Ltd.
532616.NS,Xchanging Solutions Limited
532621.NS,Morarjee Textiles Limited
532624.NS,Jindal Photo Limited
532626.NS,Pondy Oxides & Chemicals Limited
532627.NS,Jaiprakash Power Ventures Limited
532628.NS,3i Infotech limited
532630.NS,Gokaldas Exports Ltd
532633.NS,Alldigi Tech Limited
532636.NS,IIFL FINANCE LIMITED 
532637.NS,Mangalam Drugs and Organics Ltd.
532638.NS,Shoppers Stop Ltd
532640.NS,Cyber Media (India) Ltd.
532641.NS,Nandan Denim Limited
532642.NS,JSW Holdings Limited
532644.NS,J.K. CEMENT LTD
532645.NS,Beeyu Overseas Ltd.
532648.NS,Yes Bank Ltd.
532649.NS,Nectar Lifesciences Limited
532650.NS,MSP STEEL & POWER LTD.
532651.NS,SPL INDUSTRIES LIMITED
532652.NS,Karnataka Bank Ltd.
532654.NS,McLeod Russel India Limited
532656.NS,FACOR Alloys Limited
532661.NS,Rane (Madras)  Ltd.
532662.NS,HT Media Ltd
532663.NS,Sasken Technologies Limited
532665.NS,Rajvir Industries Limited
532666.NS,FCS Software Solutions Ltd.
532667.NS,SUZLON ENERGY LTD.
532668.NS,Aurionpro Solutions Ltd.
532670.NS,Shree Renuka Sugars Ltd.
532673.NS,K. M. Sugar Mills Ltd.
532674.NS,Bannari Amman Spinning Mills Ltd
532676.NS,PBA INFRASTRUCTURE LTD.
532683.NS,AIA Engineering Ltd.
532684.NS,Everest Kanto Cylinders Ltd.
532686.NS,Kernex Microsystems (India) Ltd.
532687.NS,Repro India Ltd.
532689.NS,PVR INOX LIMITED
532694.NS,Bartronics India Ltd.
532695.NS,Celebrity Fashions Ltd.
532696.NS,Educomp Solutions Ltd
532698.NS,Nitin Spinners Ltd.
532699.NS,Royal Orchid Hotels Ltd
532700.NS,Entertainment Network (India) Ltd
532701.NS,CELLA SPACE LIMITED
532702.NS,Gujarat State Petronet Ltd.
532705.NS,Jagran Prakashan Limited
532707.NS,Dynemic Products Ltd.
532708.NS,GVK Power & Infrastructure Ltd
532710.NS,Sadbhav Engineering Ltd.
532712.NS,Reliance Communications Limited
532713.NS,Sakuma Exports Ltd.
532714.NS,KEC International Ltd.
