symbol,name
500313.NS,Oil Country Tubular Ltd.
500314.NS,Oriental Hotels Ltd.
500317.NS,Oswal Agro Mills Ltd.
500319.NS,Indian Sucrose Ltd.
500322.NS,Panyam Cements & Mineral Inds. Ltd.
500325.NS,Reliance Industries Ltd
500327.NS,Pil Italica Lifestyle Limited
500330.NS,Raymond Limited
500331.NS,Pidilite Industries Ltd.
500333.NS,Pix Transmissions Ltd.
500335.NS,Birla Corporation Ltd.
500336.NS,Surya Roshni Ltd.
500337.NS,Prime Securities Ltd.
500338.NS,PRISM JOHNSON LIMITED.
500339.NS,Rain Industries Limited
500342.NS,Prudential Sugar Corporation Ltd
500343.NS,AMJ LAND HOLDINGS LIMITED
500346.NS,Punjab Communications Limited
500350.NS,RSWM Limited
500354.NS,Rajshree Sugars & Chemicals Ltd.
500355.NS,Rallis India Ltd
500356.NS,Shree Rama Newsprint Limited
500357.NS,Rama Paper Mills Limited
500358.NS,Rama Petrochemicals Ltd
500360.NS,Rapicut Carbides Ltd.
500365.NS,WELSPUN SPECIALTY SOLUTIONS LIMITED
500366.NS,Rolta India Ltd.
500367.NS,Rubfila International Ltd.
500368.NS,Patanjali Foods Limited
500370.NS,Salora International Limited
500378.NS,Jindal Saw Ltd.
500380.NS,JK Lakshmi Cement Limited
500387.NS,Shree Cements Ltd.
500388.NS,Shree Krishna Paper Mills & Industr
500389.NS,Silverline Technologies Ltd.
500390.NS,Reliance Infrastructure Ltd
500400.NS,Tata Power Co. Ltd
500402.NS,SPML Infra Limited
500403.NS,Sundram Fasteners Ltd.
500404.NS,Sunflag Iron & Steel Co. Ltd.
500405.NS,Supreme Petrochem Ltd.
500407.NS,Swaraj Engines Ltd.
500408.NS,Tata Elxsi Ltd
500410.NS,ACC Ltd
500411.NS,Thermax Ltd.
500412.NS,Thirumalai Chemicals Ltd.
500413.NS,Thomas Cook (India) Ltd.
500414.NS,Timex Group India Ltd
500418.NS,Tokyo Plast International Ltd.
500420.NS,Torrent Pharmaceuticals Ltd.
500421.NS,TPI India Ltd.
500422.NS,Transchem Limited.
500425.NS,Ambuja Cements Ltd.
500426.NS,UTL Industries Limited
500429.NS,Uniphos Enterprises Limited.
500439.NS,Vardhman Holdings Limited
500440.NS,Hindalco Industries Ltd.
500444.NS,West Coast Paper Mills Limited
500449.NS,Hindustan Organic Chemicals Ltd.
500450.NS,MPIL CORPORATION LIMITED
500456.NS,Pasupati Acrylon Ltd.
500458.NS,Kore Foods Limited
500459.NS,Procter & Gamble Hygiene & Health Care Ltd.
500460.NS,Mukand Ltd.
500463.NS,BLACK BOX LIMITED
500464.NS,UCAL LIMITED
500467.NS,Harrisons Malayalam Ltd.
500469.NS,Federal Bank Ltd.
500470.NS,TATA STEEL LIMITED
500472.NS,SKF India Ltd.
500477.NS,Ashok Leyland Ltd.
500480.NS,Cummins India Ltd.
500483.NS,Tata Communications Limited
500488.NS,Abbott India Ltd.
500490.NS,Bajaj Holdings & Investment Limited
500493.NS,Bharat Forge Ltd
500495.NS,Escorts Kubota Limited
500500.NS,Hindustan Motors Ltd.
500510.NS,Larsen & Toubro Limited
500520.NS,Mahindra & Mahindra Ltd.
500530.NS,Bosch Ltd
500540.NS,Premier Limited
500547.NS,Bharat Petroleum Corpn. Ltd.
500550.NS,Siemens Ltd.
500570.NS,Tata Motors Ltd.
500575.NS,Voltas Ltd.
500620.NS,Great Eastern Shipping Co. Ltd.
500645.NS,Deepak Fertilizers &Petrochemicals
500650.NS,Excell Industries Ltd.
500655.NS,GARWARE HI-TECH FILMS LIMITED
500660.NS,GlaxoSmithkline Pharmaceuticals Ltd.
500670.NS,Gujarat Narmada Valley Fert.Co.Ltd
500672.NS,Novartis India Limited.
500674.NS,Sanofi India Ltd
500680.NS,Pfizer Ltd.
500690.NS,Gujarat State Fertilizers & Chem.Ltd
500696.NS,Hindustan Unilever Ltd.
500710.NS,Akzo Nobel India Limited
500730.NS,NOCIL Ltd
500770.NS,Tata Chemicals Ltd
500777.NS,Tamilnadu Petroproducts Ltd
500780.NS,Zuari Industries Limited
500790.NS,Nestle India Ltd.
500800.NS,TATA CONSUMER PRODUCTS LIMITED
500820.NS,Asian Paints Ltd.
500825.NS,Britannia Industries Ltd.
500830.NS,Colgate-Palmolive (India) Ltd.
500840.NS,EIH Ltd
500850.NS,Indian Hotels Co. Ltd
500870.NS,Castrol India Ltd
500875.NS,ITC Ltd
500877.NS,Apollo Tyres Ltd
500878.NS,Ceat Ltd.
500890.NS,Modi Rubber Ltd.
500940.NS,Finolex Industries Ltd.
501110.NS,Sunrise Industrial Traders Ltd.
501111.NS,Gold Rock Investments Ltd.
501144.NS,Peoples Investments Ltd.
501148.NS,Dalal Street Investments Ltd.
501150.NS,Centrum Capital Limited
501151.NS,Kartik Investments Trust Ltd.
501242.NS,TCI Finance Limited
501261.NS,Kratos Energy & Infrastructure Limited
501270.NS,ANTARIKSH INDUSTRIES LIMITED
501295.NS,Industrial Investment Trust Ltd.
501298.NS,Industrial & Prudential Inv. Co. Lt
501301.NS,Tata Investment Corporation Ltd.
501311.NS,Jayabharat Credit Ltd.
501314.NS,PRISMX GLOBAL VENTURES LIMITED
501343.NS,Motor & General Finance (M.G.F.) Lt
501351.NS,Rapid Investments Ltd.
501370.NS,Walchand Peoplefirst Limited
501386.NS,Swastik Safe Deposit & Invest. Ltd.
501391.NS,W.H. Brady & Co. Ltd.
501421.NS,TechNVision Ventures Limited
501423.NS,Shaily Engineering Plastics Ltd.
501425.NS,Bombay Burmah Trading Corpn. Ltd.
501430.NS,Bombay Cycle & Motor Agency Ltd.
501455.NS,Greaves Cotton Ltd.
501477.NS,Muller & Phipps (India) Ltd.
501479.NS,SPRINGFORM TECHNOLOGY LIMITED
501622.NS,Amalgamated Electricity Co. Ltd.
501630.NS,Anand Projects Ltd
501700.NS,India Nivesh Limited
501831.NS,Coastal Corporation Limited
501833.NS,Chowgule Steamships Ltd.
